ArabicWord,EnglishMeaning,Link,,
?????,"Fall in Love , Roam , Wander , Thrust , Burning Thrust , Confused , Puzzled",link to dictionary,,
?????????,"But oh , Alas ,",link to dictionary,,
????????,"Supervise , Control , Guard , Protector , Master , Watcher",link to dictionary,,
??????,"Rain Heavily , Hail , Shower , Unhealthy , Unwholesome , Evil Consequences of deed , Harm , Curse , Bundle of sticks",link to dictionary,,
??????,"Perish , Destroy , Imprison , Grave Offense , Crime",link to dictionary,,
??????,"Abundant Hair or wool, Covered with hair",link to dictionary,,
??????,"Fix , Fasten , Security , Drive in Pegs , Peg , Pin Stake , Hole , Mountain , Leader of a country",link to dictionary,,
??????,"String , Wrong , Harm , Cheat , One by One , Odd , Tendon , Cord , Columns , Manner , Procedure , Uninterrupted chain of transmitters",link to dictionary,,
??????,Aorta,link to dictionary,,
??????,"Trust , Confidence , Solid , Firm , Bond , Reliable , Document , Deed , Charter , Notarize , Guarantee",link to dictionary,,
??????,"Soft , Smooth , Fat , Fleshy , Comfort , Blanket , Drape",link to dictionary,,
??????,"Idol , Pagan ,",link to dictionary,,
??????,"Necessary , Obligatory , Incumbent , Fall down , Crash , One meal a day , Palpitation of the heart , Imperative , Inevitable , Liability",link to dictionary,,
??????,"Find , Come across , discover , Obtain , Love , Passion , Feeling , Being , Existence , Produce , Originate , Supply",link to dictionary,,
??????,"Afraid , Apprehensive , Hidden , Feel , Sense , Realize , Taste , Regard",link to dictionary,,
??????,"Agitated , Excited , Trouble , Trembling , Earthquake. , Disturbed.",link to dictionary,,
??????,"Afraid , Fear , Dread , Frighten ,",link to dictionary,,
??????,"Face , Front , Outside , Surface , Prominent , Personality , Side , Direction , Course , Direction , Inclination",link to dictionary,,
??????,"Alone , Unique , Solitude , Sole , Single , Monotheism ,",link to dictionary,,
??????,"Wild animal , Monster , Lonely , Deserted , Wild , Untamed , Savagery , Brutalism , Barbarism ,",link to dictionary,,
?????,"Inspire , Reveal , Guided",link to dictionary,,
??????,"Stop , Farewell , Goodbye , Calm , Gentle , Trust , Deposit , Stored",link to dictionary,,
?????,"Love , Like , Want , Wish , Friendly , Attract ,",link to dictionary,,
?????,"Blood money , Valley , Wadi , River Bed , Send off dispatch , Kill , Ruin , Destruction",link to dictionary,,
??????,"Heir , Inherit , Heritage , Legacy , Tradition",link to dictionary,,
??????,"Come , Arrive , Appear , Show Up , section of Quran Recited During Prayer , vein , Jugular vein , Spring , Income , Revenue , Landing Place<mention , Citation , Import",link to dictionary,,
??????,"Reddish brown , Rose , Flower , Blossom , Red , Rosy",link to dictionary,,
??????,"Leaves , Paper , Paper money",link to dictionary,,
?????,"Kindle , Mortals , Mankind , Behind , Rear , Past , After , Back , Concealing ,",link to dictionary,,
?????,"Kindle , Mortals , Mankind , Behind , Rear , Past , After , Back , Concealing ,",link to dictionary,,
????????,"Minister , Ministry",link to dictionary,,
??????,"Carry , Overcome , Commit a sin , Heavy Load , Skirt , Help , Assist , Support",link to dictionary,,
????,Incite,link to dictionary,,
??????,"Restrain , Betray , Inform , Group , Share , Portion , Restrain , Impediment , Distributed , Scatter , Dispersed ,",link to dictionary,,
??????,"Restrain , Betray , Inform , Group , Share , Portion , Restrain , Impediment , Distributed , Scatter , Dispersed ,",link to dictionary,,
??????,"Weigh , Balance , Measure ,",link to dictionary,,
??????,"Middle , Center , Heart , Waist , Means , Median , Average ,",link to dictionary,,
??????,,link to dictionary,,
??????,"Wide , Roomy , Spacious , Extension , Adequacy",link to dictionary,,
??????,"Load , Cargo , Become possible , Good Order , Harmonize ,",link to dictionary,,
??????,"Seek or Solicit Favor , Means , Medium , Expedient ,",link to dictionary,,
??????,"Mark, Season, Distinguish, Award",link to dictionary,,
??????,"Sleep , Slumber , Short Nap",link to dictionary,,
????????,"Whisper , Tempt , Prompt , Suggest , Doubt , Suspicion , Wicked , Anxiety",link to dictionary,,
????????,"Whisper , Tempt , Prompt , Suggest , Doubt , Suspicion , Wicked , Anxiety",link to dictionary,,
??????,"Last , Endure , Permanent , Illness",link to dictionary,,
??????,"Firm , Weave , Threshold , Close , Shut",link to dictionary,,
??????,"Firm , Weave , Threshold , Close , Shut",link to dictionary,,
??????,"Describe , Portray , Character , Ascribe , Praise , Description , Quality , Character",link to dictionary,,
??????,"Join , Connect , Combine , Link , Come , Receive , Relation , Receipt , Communication",link to dictionary,,
??????,"Authorize agent , Legal guardian , Tutor , Trustee , Command , Will , Advise , Admonition , Order , Recommended ,",link to dictionary,,
?????,"Pave , Level , Smooth , Soft , Prepare , Force down , Low ground , Depression , Reduce , Slash",link to dictionary,,
??????,"Pave , Level , Smooth , Soft , Prepare , Force down , Low ground , Depression , Reduce , Slash",link to dictionary,,
?????,"Desire , Purpose , He attained his aim ,",link to dictionary,,
??????,"Lay down , Put down , into , Give birth , Invent , Originate , Write , Compile , Compose , Put in its place , Principles , Manners , Subject Matter",link to dictionary,,
??????,"Homeland , His Country",link to dictionary,,
??????,"Make a promise , Give ones word , Engagement , Commitment , Appointment , Agreement , Date",link to dictionary,,
??????,"Preach , Warn , Exhort , Advise , Sermon , Moral , Admonition",link to dictionary,,
?????,"Hold , Contain , Comprise , Remember , Know , Pay Attention , Conscious , Aware ,",link to dictionary,,
??????,"Come, Arrive , Delegated",link to dictionary,,
??????,"Abundant , Increase , Grow , Surplus , Plentiful , Luckier , Wealthy , Spread",link to dictionary,,
??????,"Right , Suitable , Appropriate , Sufficiency , Agreement , Conformity , Harmony",link to dictionary,,
?????,"Complete , Perfect , Redeem , Fulfill , Pay , Discharge , Payment , Compensation , Dead , Deceased , Receive in full",link to dictionary,,
??????,"Sunken , Become dark , Gloomy , Cavity , Hollow ,",link to dictionary,,
??????,"Appoint , Set Time , Time , Deadline , Meeting time ,",link to dictionary,,
??????,"Fire , Fuel , Burn , Ignite , Light , Combustion ,",link to dictionary,,
??????,"Hit Fatally , Fell , Beaten to death",link to dictionary,,
??????,"Fall , Fall down , Drop , Tumble , Occur , Happen , Arrive , Incident , Event , Fact , Development , Accident , Realistic ,",link to dictionary,,
??????,"Break , Fracture , Deaf , Hard of Hearing , Dignified , Sedate , Grave , Cavity , Hollow , Burden , Respect , Oppress , Over laden with fruits",link to dictionary,,
??????,"Come to stop , Stand still , Halt , Pause , Hesitate , Rise , Stand , Resist , Oppose , Endowment , The halt of the Mecca Pilgrims on Mount Arafat on 9th Zulhijja ,",link to dictionary,,
?????,"Guard , Preserve , Protect , Safeguard , Prevention , Shelter , Devout , Pious, To Fear God.",link to dictionary,,
??????,"Staff, Support , Lean , Cushion",link to dictionary,,
??????,"Intend, Aim, Confirm, Assurance",link to dictionary,,
??????,"Strike with fist , Push , Hit , Thrust , Pierce , Lean",link to dictionary,,
??????,"Entrust , Assign , Charge , Authorize representative , Manager , Trustee , Defense council , Attorney , Trust in God",link to dictionary,,
??????,"Give birth , Beget , Bring forth , Descended , Child , Young , Progeny , Son , Boy , Father , Parents , Mother , Creation , Birthday , Procreation , Generation",link to dictionary,,
??????,"Enter, Penetrate, Confident, Secret, Misfortune, Calamity, Pain.",link to dictionary,,
?????,"To provide for One's family, Provisions, Supplies",link to dictionary,,
???,"Camel, Dung",link to dictionary,,
??????,"Surpass, Excel, Branch,Tall Towering, Branched.",link to dictionary,,
??????,Mud,link to dictionary,,
??????,", Turns away, Shun, Avoid, Near , Close , Next , Manage , Govern , Rule , Supporter , Friend , Associate , Entrusted , In Charge , Successive , Consecutive , Continue",link to dictionary,,
??????,", Turns away, Shun, Avoid, Near , Close , Next , Manage , Govern , Rule , Supporter , Friend , Associate , Entrusted , In Charge , Successive , Consecutive , Continue",link to dictionary,,
??????,"Give , Endow , Gift , Donation , Talent , Generous",link to dictionary,,
??????,"Glow , Flame , Incandescent , Gleam , Glitter , Sun , Blazing",link to dictionary,,
??????,"Weaken , Lack of strength , Discourage , Unnerve",link to dictionary,,
?????,"Weak , Frail , Thin , Flimsy",link to dictionary,,
?????,"Calamity , Affliction , Woe , Disaster , Catastrophe, To Say to one self",link to dictionary,,
??????,"Dry , Rigid , Arid , Hard",link to dictionary,,
???????,"Hyacinth , Sapphire , Precious Stone , Green Corundum , Topaz , Yellow Sapphire",link to dictionary,,
??????,"Renounce , Despair , Hopelessness , Deprive",link to dictionary,,
??????,"Orphan , Weak , Weary , Fatherless , Motherless , Unique , Rare , Incompatible ,",link to dictionary,,
??????,"Hand , Help , Do favor , Power , Authority , Control , Assistance , Benefit ,",link to dictionary,,
??????,"Hand , Help , Do favor , Power , Authority , Control , Assistance , Benefit ,",link to dictionary,,
??????,"Easy , Game of Chance , Facility , Comfort , Prosperity , left Side",link to dictionary,,
??????,"Wake , Awake , Guard , Watchful , Arouse , Warn , Alert ,",link to dictionary,,
??????,"Sure , Certain , Convinced , Absolute , Positive",link to dictionary,,
??????,"Sure , Certain , Convinced , Absolute , Positive",link to dictionary,,
?????,"Sea , Ocean , Pigeon , Dove , Turn , Direct towards , Successful , For Head , Intend , Aim ,",link to dictionary,,
??????,"Lucky , Fortunate , Bless , Prosperous , Bless , Yemen , Right Hand , Right wing , Swear , Oath",link to dictionary,,
??????,"Lucky , Fortunate , Bless , Prosperous , Bless , Yemen , Right Hand , Right wing , Swear , Oath",link to dictionary,,
??????,"Ripen , Mellow , Blooming",link to dictionary,,
?????,"Age , Time , Battle , War , Day , Today , Time of the day , day of Judgment , Daily ,",link to dictionary,,
????,"Pour , Sprinkle, Pile Up, Sand Heap",link to dictionary,,
???????,CAMPHOR,link to dictionary,,
??????,"Bring Bad Luck, Sinister,",link to dictionary,,
?????,"To Embellish, To Décorate, Slander",link to dictionary,,
??????,"Why, How , However, Wherever",link to dictionary,,
???,"Bend, Curve, Burden, Oppress",link to dictionary,,
???,"Save, Preserve, Store Away",link to dictionary,,
??????,"Force, Compulsion, In spite of",link to dictionary,,
??????,"To Pierce with a Lance, Spear, Pole,",link to dictionary,,
??????,"Thicket, Jungle, Wood",link to dictionary,,
?????,"Group, Class, Party, Rate",link to dictionary,,
??????,"Shelter, Asylum, Refuge",link to dictionary,,
????????,"Dominant, Control, Ruler, Master",link to dictionary,,
??????,"To let, Leave, To Leave Alone, To Let be, Cause, Stop.",link to dictionary,,
?????,"To Rebuke, Scold, Dispise, Contempt",link to dictionary,,
?????,"Thicket, Jungle, Wood",link to dictionary,,
?????,"Arms, Weapon, To Arm",link to dictionary,,
???,"Not, Do not",link to dictionary,,
???,"To Exclude, To Immolate and animal (Sacrifice)",link to dictionary,,
???,"(Particle of Future Tense), shall, will, interval, some distance, delay",link to dictionary,,
????,Who ?,link to dictionary,,
????,"Tired, Weary, Weak, To be Dim",link to dictionary,,
?????,"Priest, Clergyman, Minister, Pastor",link to dictionary,,
??????,"To destroy, To Perish, Destruction",link to dictionary,,
??????,"Take away by force, illegally, forcible, usurped",link to dictionary,,
??? ????,"So, thus, equally, likewise",link to dictionary,,
??,"Then, therefore, and then, for , because,",link to dictionary,,
?????,"Sink Deeply, To Raid, Invade, Attack, Cave",link to dictionary,,
???,"Poor, Destitute, Large Family",link to dictionary,,
???,"Or, Second member of an alternative question",link to dictionary,,
